ST,State,County State,County,CoC Number,FIPS ID
MT,Montana,"Liberty County, Montana",Liberty,MT-500,30051
MT,Montana,"Lincoln County, Montana",Lincoln,MT-500,30053
MT,Montana,"Madison County, Montana",Madison,MT-500,30057
MT,Montana,"McCone County, Montana",McCone,MT-500,30055
MT,Montana,"Meagher County, Montana",Meagher,MT-500,30059
MT,Montana,"Mineral County, Montana",Mineral,MT-500,30061
MT,Montana,"Missoula County, Montana",Missoula,MT-500,30063
MT,Montana,"Musselshell County, Montana",Musselshell,MT-500,30065
MT,Montana,"Park County, Montana",Park,MT-500,30067
MT,Montana,"Petroleum County, Montana",Petroleum,MT-500,30069
MT,Montana,"Phillips County, Montana",Phillips,MT-500,30071
MT,Montana,"Pondera County, Montana",Pondera,MT-500,30073
MT,Montana,"Powder River County, Montana",Powder River,MT-500,30075
MT,Montana,"Powell County, Montana",Powell,MT-500,30077
MT,Montana,"Prairie County, Montana",Prairie,MT-500,30079
MT,Montana,"Ravalli County, Montana",Ravalli,MT-500,30081
MT,Montana,"Richland County, Montana",Richland,MT-500,30083
MT,Montana,"Roosevelt County, Montana",Roosevelt,MT-500,30085
MT,Montana,"Rosebud County, Montana",Rosebud,MT-500,30087
MT,Montana,"Sanders County, Montana",Sanders,MT-500,30089
MT,Montana,"Sheridan County, Montana",Sheridan,MT-500,30091
MT,Montana,"Silver Bow County, Montana",Silver Bow,MT-500,30093
MT,Montana,"Stillwater County, Montana",Stillwater,MT-500,30095
MT,Montana,"Sweet Grass County, Montana",Sweet Grass,MT-500,30097
MT,Montana,"Teton County, Montana",Teton,MT-500,30099
MT,Montana,"Toole County, Montana",Toole,MT-500,30101
MT,Montana,"Treasure County, Montana",Treasure,MT-500,30103
MT,Montana,"Valley County, Montana",Valley,MT-500,30105
MT,Montana,"Wheatland County, Montana",Wheatland,MT-500,30107
MT,Montana,"Wibaux County, Montana",Wibaux,MT-500,30109
MT,Montana,"Yellowstone County, Montana",Yellowstone,MT-500,30111
NE,Nebraska,"Adams County, Nebraska",Adams,NE-500,31001
NE,Nebraska,"Antelope County, Nebraska",Antelope,NE-500,31003
NE,Nebraska,"Arthur County, Nebraska",Arthur,NE-500,31005
NE,Nebraska,"Banner County, Nebraska",Banner,NE-500,31007
NE,Nebraska,"Blaine County, Nebraska",Blaine,NE-500,31009
NE,Nebraska,"Boone County, Nebraska",Boone,NE-500,31011
NE,Nebraska,"Box Butte County, Nebraska",Box Butte,NE-500,31013
NE,Nebraska,"Boyd County, Nebraska",Boyd,NE-500,31015
NE,Nebraska,"Brown County, Nebraska",Brown,NE-500,31017
NE,Nebraska,"Buffalo County, Nebraska",Buffalo,NE-500,31019
NE,Nebraska,"Burt County, Nebraska",Burt,NE-500,31021
NE,Nebraska,"Butler County, Nebraska",Butler,NE-500,31023
NE,Nebraska,"Cass County, Nebraska",Cass,NE-500,31025
NE,Nebraska,"Cedar County, Nebraska",Cedar,NE-500,31027
NE,Nebraska,"Chase County, Nebraska",Chase,NE-500,31029
NE,Nebraska,"Cherry County, Nebraska",Cherry,NE-500,31031
NE,Nebraska,"Cheyenne County, Nebraska",Cheyenne,NE-500,31033
NE,Nebraska,"Clay County, Nebraska",Clay,NE-500,31035
NE,Nebraska,"Colfax County, Nebraska",Colfax,NE-500,31037
NE,Nebraska,"Cuming County, Nebraska",Cuming,NE-500,31039
NE,Nebraska,"Custer County, Nebraska",Custer,NE-500,31041
NE,Nebraska,"Dakota County, Nebraska",Dakota,IA-501,31043
NE,Nebraska,"Dawes County, Nebraska",Dawes,NE-500,31045
NE,Nebraska,"Dawson County, Nebraska",Dawson,NE-500,31047
NE,Nebraska,"Deuel County, Nebraska",Deuel,NE-500,31049
NE,Nebraska,"Dixon County, Nebraska",Dixon,NE-500,31051
NE,Nebraska,"Dodge County, Nebraska",Dodge,NE-500,31053
NE,Nebraska,"Douglas County, Nebraska",Douglas,NE-501,31055
NE,Nebraska,"Dundy County, Nebraska",Dundy,NE-500,31057
NE,Nebraska,"Fillmore County, Nebraska",Fillmore,NE-500,31059
NE,Nebraska,"Franklin County, Nebraska",Franklin,NE-500,31061
NE,Nebraska,"Frontier County, Nebraska",Frontier,NE-500,31063
NE,Nebraska,"Furnas County, Nebraska",Furnas,NE-500,31065
NE,Nebraska,"Gage County, Nebraska",Gage,NE-500,31067
NE,Nebraska,"Garden County, Nebraska",Garden,NE-500,31069
NE,Nebraska,"Garfield County, Nebraska",Garfield,NE-500,31071
NE,Nebraska,"Gosper County, Nebraska",Gosper,NE-500,31073
NE,Nebraska,"Grant County, Nebraska",Grant,NE-500,31075
NE,Nebraska,"Greeley County, Nebraska",Greeley,NE-500,31077
NE,Nebraska,"Hall County, Nebraska",Hall,NE-500,31079
NE,Nebraska,"Hamilton County, Nebraska",Hamilton,NE-500,31081
NE,Nebraska,"Harlan County, Nebraska",Harlan,NE-500,31083
NE,Nebraska,"Hayes County, Nebraska",Hayes,NE-500,31085
NE,Nebraska,"Hitchcock County, Nebraska",Hitchcock,NE-500,31087
NE,Nebraska,"Holt County, Nebraska",Holt,NE-500,31089
NE,Nebraska,"Hooker County, Nebraska",Hooker,NE-500,31091
NE,Nebraska,"Howard County, Nebraska",Howard,NE-500,31093
NE,Nebraska,"Jefferson County, Nebraska",Jefferson,NE-500,31095
NE,Nebraska,"Johnson County, Nebraska",Johnson,NE-500,31097
NE,Nebraska,"Kearney County, Nebraska",Kearney,NE-500,31099
NE,Nebraska,"Keith County, Nebraska",Keith,NE-500,31101
NE,Nebraska,"Keya Paha County, Nebraska",Keya Paha,NE-500,31103
NE,Nebraska,"Kimball County, Nebraska",Kimball,NE-500,31105
NE,Nebraska,"Knox County, Nebraska",Knox,NE-500,31107
NE,Nebraska,"Lancaster County, Nebraska",Lancaster,NE-500,31109
NE,Nebraska,"Lancaster County, Nebraska",Lancaster,NE-502,31109
NE,Nebraska,"Lincoln County, Nebraska",Lincoln,NE-500,31111
NE,Nebraska,"Logan County, Nebraska",Logan,NE-500,31113
NE,Nebraska,"Loup County, Nebraska",Loup,NE-500,31115
NE,Nebraska,"Madison County, Nebraska",Madison,NE-500,31119
NE,Nebraska,"McPherson County, Nebraska",McPherson,NE-500,31117
NE,Nebraska,"Merrick County, Nebraska",Merrick,NE-500,31121
NE,Nebraska,"Morrill County, Nebraska",Morrill,NE-500,31123
NE,Nebraska,"Nance County, Nebraska",Nance,NE-500,31125
NE,Nebraska,"Nemaha County, Nebraska",Nemaha,NE-500,31127
NE,Nebraska,"Nuckolls County, Nebraska",Nuckolls,NE-500,31129
NE,Nebraska,"Otoe County, Nebraska",Otoe,NE-500,31131
NE,Nebraska,"Pawnee County, Nebraska",Pawnee,NE-500,31133
NE,Nebraska,"Perkins County, Nebraska",Perkins,NE-500,31135
NE,Nebraska,"Phelps County, Nebraska",Phelps,NE-500,31137
NE,Nebraska,"Pierce County, Nebraska",Pierce,NE-500,31139
NE,Nebraska,"Platte County, Nebraska",Platte,NE-500,31141
NE,Nebraska,"Polk County, Nebraska",Polk,NE-500,31143
NE,Nebraska,"Red Willow County, Nebraska",Red Willow,NE-500,31145
NE,Nebraska,"Richardson County, Nebraska",Richardson,NE-500,31147
NE,Nebraska,"Rock County, Nebraska",Rock,NE-500,31149
NE,Nebraska,"Saline County, Nebraska",Saline,NE-500,31151
NE,Nebraska,"Sarpy County, Nebraska",Sarpy,NE-501,31153
NE,Nebraska,"Saunders County, Nebraska",Saunders,NE-500,31155
NE,Nebraska,"Scotts Bluff County, Nebraska",Scotts Bluff,NE-500,31157
NE,Nebraska,"Seward County, Nebraska",Seward,NE-500,31159
NE,Nebraska,"Sheridan County, Nebraska",Sheridan,NE-500,31161
NE,Nebraska,"Sherman County, Nebraska",Sherman,NE-500,31163
NE,Nebraska,"Sioux County, Nebraska",Sioux,NE-500,31165
NE,Nebraska,"Stanton County, Nebraska",Stanton,NE-500,31167
NE,Nebraska,"Thayer County, Nebraska",Thayer,NE-500,31169
NE,Nebraska,"Thomas County, Nebraska",Thomas,NE-500,31171
NE,Nebraska,"Thurston County, Nebraska",Thurston,NE-500,31173
NE,Nebraska,"Valley County, Nebraska",Valley,NE-500,31175
NE,Nebraska,"Washington County, Nebraska",Washington,NE-500,31177
NE,Nebraska,"Wayne County, Nebraska",Wayne,NE-500,31179
NE,Nebraska,"Webster County, Nebraska",Webster,NE-500,31181
NE,Nebraska,"Wheeler County, Nebraska",Wheeler,NE-500,31183
NE,Nebraska,"York County, Nebraska",York,NE-500,31185
NV,Nevada,"Carson City, Nevada",Carson City,NV-502,32510
NV,Nevada,"Churchill County, Nevada",Churchill,NV-502,32001
NV,Nevada,"Clark County, Nevada",Clark,NV-500,32003
NV,Nevada,"Douglas County, Nevada",Douglas,NV-502,32005
NV,Nevada,"Elko County, Nevada",Elko,NV-502,32007
NV,Nevada,"Esmeralda County, Nevada",Esmeralda,NV-502,32009
NV,Nevada,"Eureka County, Nevada",Eureka,NV-502,32011
NV,Nevada,"Humboldt County, Nevada",Humboldt,NV-502,32013
NV,Nevada,"Lander County, Nevada",Lander,NV-502,32015
NV,Nevada,"Lincoln County, Nevada",Lincoln,NV-502,32017
NV,Nevada,"Lyon County, Nevada",Lyon,NV-502,32019
NV,Nevada,"Mineral County, Nevada",Mineral,NV-502,32021
NV,Nevada,"Nye County, Nevada",Nye,NV-502,32023
NV,Nevada,"Pershing County, Nevada",Pershing,NV-502,32027
NV,Nevada,"Storey County, Nevada",Storey,NV-502,32029
NV,Nevada,"Washoe County, Nevada",Washoe,NV-501,32031
NV,Nevada,"White Pine County, Nevada",White Pine,NV-502,32033
NH,New Hampshire,"Belknap County, New Hampshire",Belknap,NH-500,33001
NH,New Hampshire,"Carroll County, New Hampshire",Carroll,NH-500,33003
NH,New Hampshire,"Cheshire County, New Hampshire",Cheshire,NH-500,33005
NH,New Hampshire,"Coos County, New Hampshire",Coos,NH-500,33007
NH,New Hampshire,"Grafton County, New Hampshire",Grafton,NH-500,33009
NH,New Hampshire,"Hillsborough County, New Hampshire",Hillsborough,NH-501,33011
NH,New Hampshire,"Hillsborough County, New Hampshire",Hillsborough,NH-502,33011
NH,New Hampshire,"Merrimack County, New Hampshire",Merrimack,NH-500,33013
NH,New Hampshire,"Rockingham County, New Hampshire",Rockingham,NH-500,33015
NH,New Hampshire,"Strafford County, New Hampshire",Strafford,NH-500,33017
NH,New Hampshire,"Sullivan County, New Hampshire",Sullivan,NH-500,33019
NJ,New Jersey,"Atlantic County, New Jersey",Atlantic,NJ-500,34001
NJ,New Jersey,"Bergen County, New Jersey",Bergen,NJ-501,34003
NJ,New Jersey,"Burlington County, New Jersey",Burlington,NJ-502,34005
NJ,New Jersey,"Camden County, New Jersey",Camden,NJ-503,34007
NJ,New Jersey,"Cape May County, New Jersey",Cape May,NJ-503,34009
NJ,New Jersey,"Cumberland County, New Jersey",Cumberland,NJ-503,34011
NJ,New Jersey,"Essex County, New Jersey",Essex,NJ-504,34013
NJ,New Jersey,"Gloucester County, New Jersey",Gloucester,NJ-503,34015
NJ,New Jersey,"Hudson County, New Jersey",Hudson,NJ-506,34017
NJ,New Jersey,"Hunterdon County, New Jersey",Hunterdon,NJ-516,34019
NJ,New Jersey,"Mercer County, New Jersey",Mercer,NJ-514,34021
NJ,New Jersey,"Middlesex County, New Jersey",Middlesex,NJ-507,34023
NJ,New Jersey,"Monmouth County, New Jersey",Monmouth,NJ-508,34025
NJ,New Jersey,"Morris County, New Jersey",Morris,NJ-509,34027
NJ,New Jersey,"Ocean County, New Jersey",Ocean,NJ-510,34029
NJ,New Jersey,"Passaic County, New Jersey",Passaic,NJ-511,34031
NJ,New Jersey,"Salem County, New Jersey",Salem,NJ-512,34033
NJ,New Jersey,"Somerset County, New Jersey",Somerset,NJ-513,34035
NJ,New Jersey,"Sussex County, New Jersey",Sussex,NJ-516,34037
NJ,New Jersey,"Union County, New Jersey",Union,NJ-515,34039
NJ,New Jersey,"Warren County, New Jersey",Warren,NJ-516,34041
NM,New Mexico,"Bernalillo County, New Mexico",Bernalillo,NM-500,35001
NM,New Mexico,"Bernalillo County, New Mexico",Bernalillo,NM-501,35001
NM,New Mexico,"Catron County, New Mexico",Catron,NM-501,35003
NM,New Mexico,"Chaves County, New Mexico",Chaves,NM-501,35005
NM,New Mexico,"Cibola County, New Mexico",Cibola,NM-501,35006
NM,New Mexico,"Colfax County, New Mexico",Colfax,NM-501,35007
NM,New Mexico,"Curry County, New Mexico",Curry,NM-501,35009
NM,New Mexico,"De Baca County, New Mexico",De Baca,NM-501,35011
NM,New Mexico,"Doña Ana County, New Mexico",Doña Ana,NM-501,35013
NM,New Mexico,"Eddy County, New Mexico",Eddy,NM-501,35015
NM,New Mexico,"Grant County, New Mexico",Grant,NM-501,35017
NM,New Mexico,"Guadalupe County, New Mexico",Guadalupe,NM-501,35019
NM,New Mexico,"Harding County, New Mexico",Harding,NM-501,35021
NM,New Mexico,"Hidalgo County, New Mexico",Hidalgo,NM-501,35023
NM,New Mexico,"Lea County, New Mexico",Lea,NM-501,35025
NM,New Mexico,"Lincoln County, New Mexico",Lincoln,NM-501,35027
NM,New Mexico,"Los Alamos County, New Mexico",Los Alamos,NM-501,35028
NM,New Mexico,"Luna County, New Mexico",Luna,NM-501,35029
NM,New Mexico,"McKinley County, New Mexico",McKinley,NM-501,35031
NM,New Mexico,"Mora County, New Mexico",Mora,NM-501,35033
NM,New Mexico,"Otero County, New Mexico",Otero,NM-501,35035
NM,New Mexico,"Quay County, New Mexico",Quay,NM-501,35037
NM,New Mexico,"Rio Arriba County, New Mexico",Rio Arriba,NM-501,35039
NM,New Mexico,"Roosevelt County, New Mexico",Roosevelt,NM-501,35041
NM,New Mexico,"San Juan County, New Mexico",San Juan,NM-501,35045
NM,New Mexico,"San Miguel County, New Mexico",San Miguel,NM-501,35047
NM,New Mexico,"Sandoval County, New Mexico",Sandoval,NM-501,35043
NM,New Mexico,"Santa Fe County, New Mexico",Santa Fe,NM-501,35049
NM,New Mexico,"Sierra County, New Mexico",Sierra,NM-501,35051
NM,New Mexico,"Socorro County, New Mexico",Socorro,NM-501,35053
NM,New Mexico,"Taos County, New Mexico",Taos,NM-501,35055
NM,New Mexico,"Torrance County, New Mexico",Torrance,NM-501,35057
NM,New Mexico,"Union County, New Mexico",Union,NM-501,35059
NM,New Mexico,"Valencia County, New Mexico",Valencia,NM-501,35061
NY,New York,"Albany County, New York",Albany,NY-503,36001
NY,New York,"Allegany County, New York",Allegany,NY-501,36003
NY,New York,"Bronx County, New York",Bronx,NY-600,36005
NY,New York,"Broome County, New York",Broome,NY-511,36007
NY,New York,"Cattaraugus County, New York",Cattaraugus,NY-504,36009
NY,New York,"Cayuga County, New York",Cayuga,NY-505,36011
NY,New York,"Chautauqua County, New York",Chautauqua,NY-514,36013
NY,New York,"Chemung County, New York",Chemung,NY-501,36015
NY,New York,"Chenango County, New York",Chenango,NY-511,36017
NY,New York,"Clinton County, New York",Clinton,NY-516,36019
NY,New York,"Columbia County, New York",Columbia,NY-519,36021
NY,New York,"Cortland County, New York",Cortland,NY-511,36023
NY,New York,"Delaware County, New York",Delaware,NY-511,36025
NY,New York,"Dutchess County, New York",Dutchess,NY-601,36027
NY,New York,"Erie County, New York",Erie,NY-508,36029
NY,New York,"Essex County, New York",Essex,NY-520,36031
NY,New York,"Franklin County, New York",Franklin,NY-520,36033
NY,New York,"Fulton County, New York",Fulton,NY-525,36035
NY,New York,"Genesee County, New York",Genesee,NY-508,36037
NY,New York,"Greene County, New York",Greene,NY-519,36039
NY,New York,"Hamilton County, New York",Hamilton,NY-523,36041
NY,New York,"Herkimer County, New York",Herkimer,NY-525,36043
NY,New York,"Jefferson County, New York",Jefferson,NY-522,36045
NY,New York,"Kings County, New York",Kings,NY-600,36047
NY,New York,"Lewis County, New York",Lewis,NY-522,36049
NY,New York,"Livingston County, New York",Livingston,NY-501,36051
NY,New York,"Madison County, New York",Madison,NY-518,36053
NY,New York,"Monroe County, New York",Monroe,NY-500,36055
NY,New York,"Montgomery County, New York",Montgomery,NY-525,36057
NY,New York,"Nassau County, New York",Nassau,NY-603,36059
NY,New York,"New York County, New York",New York,NY-600,36061
NY,New York,"Niagara County, New York",Niagara,NY-508,36063
NY,New York,"Oneida County, New York",Oneida,NY-518,36065
NY,New York,"Onondaga County, New York",Onondaga,NY-505,36067
NY,New York,"Ontario County, New York",Ontario,NY-513,36069
NY,New York,"Orange County, New York",Orange,NY-602,36071
NY,New York,"Orleans County, New York",Orleans,NY-508,36073
NY,New York,"Oswego County, New York",Oswego,NY-505,36075
NY,New York,"Otsego County, New York",Otsego,NY-511,36077
NY,New York,"Putnam County, New York",Putnam,NY-525,36079
NY,New York,"Queens County, New York",Queens,NY-600,36081
NY,New York,"Rensselaer County, New York",Rensselaer,NY-512,36083
NY,New York,"Richmond County, New York",Richmond,NY-600,36085
NY,New York,"Rockland County, New York",Rockland,NY-606,36087
NY,New York,"Saratoga County, New York",Saratoga,NY-523,36091
NY,New York,"Schenectady County, New York",Schenectady,NY-507,36093
NY,New York,"Schoharie County, New York",Schoharie,NY-525,36095
NY,New York,"Schuyler County, New York",Schuyler,NY-501,36097
NY,New York,"Seneca County, New York",Seneca,NY-513,36099
NY,New York,"St. Lawrence County, New York",St. Lawrence,NY-522,36089
NY,New York,"Steuben County, New York",Steuben,NY-501,36101
NY,New York,"Suffolk County, New York",Suffolk,NY-603,36103
NY,New York,"Sullivan County, New York",Sullivan,NY-607,36105
NY,New York,"Tioga County, New York",Tioga,NY-511,36107
NY,New York,"Tompkins County, New York",Tompkins,NY-510,36109
NY,New York,"Ulster County, New York",Ulster,NY-608,36111
NY,New York,"Warren County, New York",Warren,NY-523,36113
NY,New York,"Washington County, New York",Washington,NY-523,36115
NY,New York,"Wayne County, New York",Wayne,NY-513,36117
NY,New York,"Westchester County, New York",Westchester,NY-604,36119
NY,New York,"Wyoming County, New York",Wyoming,NY-508,36121
NY,New York,"Yates County, New York",Yates,NY-513,36123
NC,North Carolina,"Alamance County, North Carolina",Alamance,NC-503,37001
NC,North Carolina,"Alexander County, North Carolina",Alexander,NC-503,37003
NC,North Carolina,"Alleghany County, North Carolina",Alleghany,NC-516,37005
NC,North Carolina,"Anson County, North Carolina",Anson,NC-503,37007
NC,North Carolina,"Ashe County, North Carolina",Ashe,NC-516,37009
NC,North Carolina,"Avery County, North Carolina",Avery,NC-516,37011
NC,North Carolina,"Beaufort County, North Carolina",Beaufort,NC-503,37013
NC,North Carolina,"Bertie County, North Carolina",Bertie,NC-503,37015
NC,North Carolina,"Bladen County, North Carolina",Bladen,NC-503,37017
NC,North Carolina,"Brunswick County, North Carolina",Brunswick,NC-506,37019
NC,North Carolina,"Buncombe County, North Carolina",Buncombe,NC-501,37021
NC,North Carolina,"Burke County, North Carolina",Burke,NC-503,37023
NC,North Carolina,"Cabarrus County, North Carolina",Cabarrus,NC-503,37025
NC,North Carolina,"Caldwell County, North Carolina",Caldwell,NC-503,37027
NC,North Carolina,"Camden County, North Carolina",Camden,NC-503,37029
NC,North Carolina,"Carteret County, North Carolina",Carteret,NC-503,37031
NC,North Carolina,"Caswell County, North Carolina",Caswell,NC-503,37033
NC,North Carolina,"Catawba County, North Carolina",Catawba,NC-503,37035
NC,North Carolina,"Chatham County, North Carolina",Chatham,NC-503,37037
NC,North Carolina,"Cherokee County, North Carolina",Cherokee,NC-503,37039
NC,North Carolina,"Chowan County, North Carolina",Chowan,NC-503,37041
NC,North Carolina,"Clay County, North Carolina",Clay,NC-503,37043
NC,North Carolina,"Cleveland County, North Carolina",Cleveland,NC-509,37045
NC,North Carolina,"Columbus County, North Carolina",Columbus,NC-503,37047
NC,North Carolina,"Craven County, North Carolina",Craven,NC-503,37049
NC,North Carolina,"Cumberland County, North Carolina",Cumberland,NC-511,37051
NC,North Carolina,"Currituck County, North Carolina",Currituck,NC-503,37053
NC,North Carolina,"Dare County, North Carolina",Dare,NC-503,37055
NC,North Carolina,"Davidson County, North Carolina",Davidson,NC-503,37057
NC,North Carolina,"Davie County, North Carolina",Davie,NC-503,37059
NC,North Carolina,"Duplin County, North Carolina",Duplin,NC-503,37061
NC,North Carolina,"Durham County, North Carolina",Durham,NC-502,37063
NC,North Carolina,"Edgecombe County, North Carolina",Edgecombe,NC-503,37065
NC,North Carolina,"Forsyth County, North Carolina",Forsyth,NC-500,37067
NC,North Carolina,"Franklin County, North Carolina",Franklin,NC-503,37069
NC,North Carolina,"Gaston County, North Carolina",Gaston,NC-509,37071
NC,North Carolina,"Gates County, North Carolina",Gates,NC-503,37073
NC,North Carolina,"Graham County, North Carolina",Graham,NC-503,37075
NC,North Carolina,"Granville County, North Carolina",Granville,NC-503,37077
NC,North Carolina,"Greene County, North Carolina",Greene,NC-503,37079
NC,North Carolina,"Guilford County, North Carolina",Guilford,NC-504,37081
NC,North Carolina,"Halifax County, North Carolina",Halifax,NC-503,37083
NC,North Carolina,"Harnett County, North Carolina",Harnett,NC-503,37085
NC,North Carolina,"Haywood County, North Carolina",Haywood,NC-503,37087
NC,North Carolina,"Henderson County, North Carolina",Henderson,NC-503,37089
NC,North Carolina,"Hertford County, North Carolina",Hertford,NC-503,37091
NC,North Carolina,"Hoke County, North Carolina",Hoke,NC-503,37093
NC,North Carolina,"Hyde County, North Carolina",Hyde,NC-503,37095
NC,North Carolina,"Iredell County, North Carolina",Iredell,NC-503,37097
NC,North Carolina,"Jackson County, North Carolina",Jackson,NC-503,37099
NC,North Carolina,"Johnston County, North Carolina",Johnston,NC-503,37101
NC,North Carolina,"Jones County, North Carolina",Jones,NC-503,37103
NC,North Carolina,"Lee County, North Carolina",Lee,NC-503,37105
NC,North Carolina,"Lenoir County, North Carolina",Lenoir,NC-503,37107
NC,North Carolina,"Lincoln County, North Carolina",Lincoln,NC-509,37109
NC,North Carolina,"Macon County, North Carolina",Macon,NC-503,37113
NC,North Carolina,"Madison County, North Carolina",Madison,NC-503,37115
NC,North Carolina,"Martin County, North Carolina",Martin,NC-503,37117
NC,North Carolina,"McDowell County, North Carolina",McDowell,NC-503,37111
NC,North Carolina,"Mecklenburg County, North Carolina",Mecklenburg,NC-505,37119
NC,North Carolina,"Mitchell County, North Carolina",Mitchell,NC-516,37121
NC,North Carolina,"Montgomery County, North Carolina",Montgomery,NC-503,37123
NC,North Carolina,"Moore County, North Carolina",Moore,NC-503,37125
NC,North Carolina,"Nash County, North Carolina",Nash,NC-503,37127
NC,North Carolina,"New Hanover County, North Carolina",New Hanover,NC-506,37129
NC,North Carolina,"Northampton County, North Carolina",Northampton,NC-503,37131
NC,North Carolina,"Onslow County, North Carolina",Onslow,NC-503,37133
NC,North Carolina,"Orange County, North Carolina",Orange,NC-513,37135
NC,North Carolina,"Pamlico County, North Carolina",Pamlico,NC-503,37137
NC,North Carolina,"Pasquotank County, North Carolina",Pasquotank,NC-503,37139
NC,North Carolina,"Pender County, North Carolina",Pender,NC-506,37141
NC,North Carolina,"Perquimans County, North Carolina",Perquimans,NC-503,37143
NC,North Carolina,"Person County, North Carolina",Person,NC-503,37145
NC,North Carolina,"Pitt County, North Carolina",Pitt,NC-503,37147
NC,North Carolina,"Polk County, North Carolina",Polk,NC-503,37149
NC,North Carolina,"Randolph County, North Carolina",Randolph,NC-503,37151
NC,North Carolina,"Richmond County, North Carolina",Richmond,NC-503,37153
NC,North Carolina,"Robeson County, North Carolina",Robeson,NC-503,37155
NC,North Carolina,"Rockingham County, North Carolina",Rockingham,NC-503,37157
NC,North Carolina,"Rowan County, North Carolina",Rowan,NC-503,37159
NC,North Carolina,"Rutherford County, North Carolina",Rutherford,NC-503,37161
NC,North Carolina,"Sampson County, North Carolina",Sampson,NC-503,37163
NC,North Carolina,"Scotland County, North Carolina",Scotland,NC-503,37165
NC,North Carolina,"Stanly County, North Carolina",Stanly,NC-503,37167
NC,North Carolina,"Stokes County, North Carolina",Stokes,NC-503,37169
NC,North Carolina,"Surry County, North Carolina",Surry,NC-503,37171
NC,North Carolina,"Swain County, North Carolina",Swain,NC-503,37173
NC,North Carolina,"Transylvania County, North Carolina",Transylvania,NC-503,37175
NC,North Carolina,"Tyrrell County, North Carolina",Tyrrell,NC-503,37177
NC,North Carolina,"Union County, North Carolina",Union,NC-503,37179
NC,North Carolina,"Vance County, North Carolina",Vance,NC-503,37181
NC,North Carolina,"Wake County, North Carolina",Wake,NC-507,37183
NC,North Carolina,"Warren County, North Carolina",Warren,NC-503,37185
NC,North Carolina,"Washington County, North Carolina",Washington,NC-503,37187
NC,North Carolina,"Watauga County, North Carolina",Watauga,NC-516,37189
NC,North Carolina,"Wayne County, North Carolina",Wayne,NC-503,37191
NC,North Carolina,"Wilkes County, North Carolina",Wilkes,NC-516,37193
NC,North Carolina,"Wilson County, North Carolina",Wilson,NC-503,37195
NC,North Carolina,"Yadkin County, North Carolina",Yadkin,NC-503,37197
NC,North Carolina,"Yancey County, North Carolina",Yancey,NC-516,37199
ND,North Dakota,"Adams County, North Dakota",Adams,ND-500,38001
ND,North Dakota,"Barnes County, North Dakota",Barnes,ND-500,38003
ND,North Dakota,"Benson County, North Dakota",Benson,ND-500,38005
ND,North Dakota,"Billings County, North Dakota",Billings,ND-500,38007
ND,North Dakota,"Bottineau County, North Dakota",Bottineau,ND-500,38009
ND,North Dakota,"Bowman County, North Dakota",Bowman,ND-500,38011
ND,North Dakota,"Burke County, North Dakota",Burke,ND-500,38013
ND,North Dakota,"Burleigh County, North Dakota",Burleigh,ND-500,38015
ND,North Dakota,"Cass County, North Dakota",Cass,ND-500,38017
ND,North Dakota,"Cavalier County, North Dakota",Cavalier,ND-500,38019
ND,North Dakota,"Dickey County, North Dakota",Dickey,ND-500,38021
ND,North Dakota,"Divide County, North Dakota",Divide,ND-500,38023
ND,North Dakota,"Dunn County, North Dakota",Dunn,ND-500,38025
ND,North Dakota,"Eddy County, North Dakota",Eddy,ND-500,38027
ND,North Dakota,"Emmons County, North Dakota",Emmons,ND-500,38029
ND,North Dakota,"Foster County, North Dakota",Foster,ND-500,38031
ND,North Dakota,"Golden Valley County, North Dakota",Golden Valley,ND-500,38033
ND,North Dakota,"Grand Forks County, North Dakota",Grand Forks,ND-500,38035
ND,North Dakota,"Grant County, North Dakota",Grant,ND-500,38037
ND,North Dakota,"Griggs County, North Dakota",Griggs,ND-500,38039
ND,North Dakota,"Hettinger County, North Dakota",Hettinger,ND-500,38041
ND,North Dakota,"Kidder County, North Dakota",Kidder,ND-500,38043
ND,North Dakota,"LaMoure County, North Dakota",LaMoure,ND-500,38045
ND,North Dakota,"Logan County, North Dakota",Logan,ND-500,38047
ND,North Dakota,"McHenry County, North Dakota",McHenry,ND-500,38049
ND,North Dakota,"McIntosh County, North Dakota",McIntosh,ND-500,38051
ND,North Dakota,"McKenzie County, North Dakota",McKenzie,ND-500,38053
ND,North Dakota,"McLean County, North Dakota",McLean,ND-500,38055
ND,North Dakota,"Mercer County, North Dakota",Mercer,ND-500,38057
ND,North Dakota,"Morton County, North Dakota",Morton,ND-500,38059
ND,North Dakota,"Mountrail County, North Dakota",Mountrail,ND-500,38061
ND,North Dakota,"Nelson County, North Dakota",Nelson,ND-500,38063
ND,North Dakota,"Oliver County, North Dakota",Oliver,ND-500,38065
ND,North Dakota,"Pembina County, North Dakota",Pembina,ND-500,38067
ND,North Dakota,"Pierce County, North Dakota",Pierce,ND-500,38069
ND,North Dakota,"Ramsey County, North Dakota",Ramsey,ND-500,38071
ND,North Dakota,"Ransom County, North Dakota",Ransom,ND-500,38073
ND,North Dakota,"Renville County, North Dakota",Renville,ND-500,38075
ND,North Dakota,"Richland County, North Dakota",Richland,ND-500,38077
ND,North Dakota,"Rolette County, North Dakota",Rolette,ND-500,38079
ND,North Dakota,"Sargent County, North Dakota",Sargent,ND-500,38081
